,Cuota,"Ahorro ""Alquiler""","Ahorro ""Hipoteca""",Pago de Interés,Ahorro CASA,Deuda Restante
56,Cuota nº 57,€ 269.268,€ 243.333,€ 3.260,€ 3.693,€ 1.561.254
57,Cuota nº 58,€ 273.992,€ 247.602,€ 3.252,€ 3.701,€ 1.557.552
58,Cuota nº 59,€ 278.716,€ 251.871,€ 3.244,€ 3.709,€ 1.553.843
59,Cuota nº 60,€ 283.440,€ 256.140,€ 3.237,€ 3.716,€ 1.550.126
60,Cuota nº 61,€ 288.164,€ 260.409,€ 3.229,€ 3.724,€ 1.546.402
61,Cuota nº 62,€ 292.888,€ 264.678,€ 3.221,€ 3.732,€ 1.542.669
62,Cuota nº 63,€ 297.612,€ 268.947,€ 3.213,€ 3.740,€ 1.538.929
63,Cuota nº 64,€ 302.336,€ 273.216,€ 3.206,€ 3.748,€ 1.535.181
64,Cuota nº 65,€ 307.060,€ 277.485,€ 3.198,€ 3.755,€ 1.531.425
65,Cuota nº 66,€ 311.784,€ 281.754,€ 3.190,€ 3.763,€ 1.527.661
66,Cuota nº 67,€ 316.508,€ 286.023,€ 3.182,€ 3.771,€ 1.523.890
67,Cuota nº 68,€ 321.232,€ 290.292,€ 3.174,€ 3.779,€ 1.520.110
68,Cuota nº 69,€ 325.956,€ 294.561,€ 3.166,€ 3.787,€ 1.516.323
69,Cuota nº 70,€ 330.680,€ 298.830,€ 3.159,€ 3.795,€ 1.512.528
70,Cuota nº 71,€ 335.404,€ 303.099,€ 3.151,€ 3.803,€ 1.508.725
71,Cuota nº 72,€ 340.128,€ 307.368,€ 3.143,€ 3.810,€ 1.504.914
72,Cuota nº 73,€ 344.852,€ 311.637,€ 3.135,€ 3.818,€ 1.501.095
73,Cuota nº 74,€ 349.576,€ 315.906,€ 3.127,€ 3.826,€ 1.497.268
74,Cuota nº 75,€ 354.300,€ 320.175,€ 3.119,€ 3.834,€ 1.493.434
75,Cuota nº 76,€ 359.024,€ 324.444,€ 3.111,€ 3.842,€ 1.489.591
76,Cuota nº 77,€ 363.748,€ 328.713,€ 3.103,€ 3.850,€ 1.485.740
77,Cuota nº 78,€ 368.472,€ 332.982,€ 3.095,€ 3.858,€ 1.481.881
78,Cuota nº 79,€ 373.196,€ 337.251,€ 3.087,€ 3.866,€ 1.478.014
79,Cuota nº 80,€ 377.920,€ 341.520,€ 3.079,€ 3.874,€ 1.474.139
80,Cuota nº 81,€ 382.644,€ 345.789,€ 3.071,€ 3.883,€ 1.470.256
81,Cuota nº 82,€ 387.368,€ 350.058,€ 3.063,€ 3.891,€ 1.466.365
82,Cuota nº 83,€ 392.092,€ 354.327,€ 3.054,€ 3.899,€ 1.462.466
83,Cuota nº 84,€ 396.816,€ 358.596,€ 3.046,€ 3.907,€ 1.458.559
84,Cuota nº 85,€ 401.540,€ 362.865,€ 3.038,€ 3.915,€ 1.454.643
85,Cuota nº 86,€ 406.264,€ 367.134,€ 3.030,€ 3.923,€ 1.450.720
86,Cuota nº 87,€ 410.988,€ 371.403,€ 3.022,€ 3.931,€ 1.446.788
87,Cuota nº 88,€ 415.712,€ 375.672,€ 3.014,€ 3.939,€ 1.442.848
88,Cuota nº 89,€ 420.436,€ 379.941,€ 3.005,€ 3.948,€ 1.438.900
89,Cuota nº 90,€ 425.160,€ 384.210,€ 2.997,€ 3.956,€ 1.434.943
90,Cuota nº 91,€ 429.884,€ 388.479,€ 2.989,€ 3.964,€ 1.430.979
91,Cuota nº 92,€ 434.608,€ 392.748,€ 2.981,€ 3.972,€ 1.427.006
92,Cuota nº 93,€ 439.332,€ 397.017,€ 2.972,€ 3.981,€ 1.423.024
93,Cuota nº 94,€ 444.056,€ 401.286,€ 2.964,€ 3.989,€ 1.419.035
94,Cuota nº 95,€ 448.780,€ 405.555,€ 2.956,€ 3.997,€ 1.415.037
95,Cuota nº 96,€ 453.504,€ 409.824,€ 2.947,€ 4.006,€ 1.411.031
96,Cuota nº 97,€ 458.228,€ 414.093,€ 2.939,€ 4.014,€ 1.407.017
97,Cuota nº 98,€ 462.952,€ 418.362,€ 2.931,€ 4.022,€ 1.402.994
98,Cuota nº 99,€ 467.676,€ 422.631,€ 2.922,€ 4.031,€ 1.398.962
99,Cuota nº 100,€ 472.400,€ 426.900,€ 2.914,€ 4.039,€ 1.394.923
100,Cuota nº 101,€ 477.124,€ 431.169,€ 2.906,€ 4.048,€ 1.390.875
101,Cuota nº 102,€ 481.848,€ 435.438,€ 2.897,€ 4.056,€ 1.386.818
102,Cuota nº 103,€ 486.572,€ 439.707,€ 2.889,€ 4.064,€ 1.382.753
103,Cuota nº 104,€ 491.296,€ 443.976,€ 2.880,€ 4.073,€ 1.378.680
104,Cuota nº 105,€ 496.020,€ 448.245,€ 2.872,€ 4.081,€ 1.374.598
105,Cuota nº 106,€ 500.744,€ 452.514,€ 2.863,€ 4.090,€ 1.370.508
106,Cuota nº 107,€ 505.468,€ 456.783,€ 2.855,€ 4.098,€ 1.366.409
107,Cuota nº 108,€ 510.192,€ 461.052,€ 2.846,€ 4.107,€ 1.362.301
108,Cuota nº 109,€ 514.916,€ 465.321,€ 2.838,€ 4.115,€ 1.358.185
109,Cuota nº 110,€ 519.640,€ 469.590,€ 2.829,€ 4.124,€ 1.354.061
110,Cuota nº 111,€ 524.364,€ 473.859,€ 2.820,€ 4.133,€ 1.349.928
111,Cuota nº 112,€ 529.088,€ 478.128,€ 2.812,€ 4.141,€ 1.345.786
112,Cuota nº 113,€ 533.812,€ 482.397,€ 2.803,€ 4.150,€ 1.341.635
113,Cuota nº 114,€ 538.536,€ 486.666,€ 2.795,€ 4.159,€ 1.337.476
114,Cuota nº 115,€ 543.260,€ 490.935,€ 2.786,€ 4.167,€ 1.333.309
115,Cuota nº 116,€ 547.984,€ 495.204,€ 2.777,€ 4.176,€ 1.329.132
116,Cuota nº 117,€ 552.708,€ 499.473,€ 2.769,€ 4.185,€ 1.324.947
117,Cuota nº 118,€ 557.432,€ 503.742,€ 2.760,€ 4.193,€ 1.320.753
118,Cuota nº 119,€ 562.156,€ 508.011,€ 2.751,€ 4.202,€ 1.316.551
119,Cuota nº 120,€ 566.880,€ 512.280,€ 2.742,€ 4.211,€ 1.312.340
120,Cuota nº 121,€ 571.604,€ 516.549,€ 2.734,€ 4.220,€ 1.308.119
121,Cuota nº 122,€ 576.328,€ 520.818,€ 2.725,€ 4.228,€ 1.303.891
122,Cuota nº 123,€ 581.052,€ 525.087,€ 2.716,€ 4.237,€ 1.299.653
123,Cuota nº 124,€ 585.776,€ 529.356,€ 2.707,€ 4.246,€ 1.295.406
124,Cuota nº 125,€ 590.500,€ 533.625,€ 2.698,€ 4.255,€ 1.291.151
125,Cuota nº 126,€ 595.224,€ 537.894,€ 2.689,€ 4.264,€ 1.286.887
126,Cuota nº 127,€ 599.948,€ 542.163,€ 2.681,€ 4.273,€ 1.282.614
127,Cuota nº 128,€ 604.672,€ 546.432,€ 2.672,€ 4.282,€ 1.278.332
128,Cuota nº 129,€ 609.396,€ 550.701,€ 2.663,€ 4.290,€ 1.274.041
129,Cuota nº 130,€ 614.120,€ 554.970,€ 2.654,€ 4.299,€ 1.269.741
130,Cuota nº 131,€ 618.844,€ 559.239,€ 2.645,€ 4.308,€ 1.265.432
131,Cuota nº 132,€ 623.568,€ 563.508,€ 2.636,€ 4.317,€ 1.261.114
132,Cuota nº 133,€ 628.292,€ 567.777,€ 2.627,€ 4.326,€ 1.256.787
133,Cuota nº 134,€ 633.016,€ 572.046,€ 2.618,€ 4.335,€ 1.252.452
134,Cuota nº 135,€ 637.740,€ 576.315,€ 2.609,€ 4.344,€ 1.248.107
135,Cuota nº 136,€ 642.464,€ 580.584,€ 2.600,€ 4.353,€ 1.243.753
136,Cuota nº 137,€ 647.188,€ 584.853,€ 2.591,€ 4.362,€ 1.239.390
137,Cuota nº 138,€ 651.912,€ 589.122,€ 2.582,€ 4.372,€ 1.235.018
138,Cuota nº 139,€ 656.636,€ 593.391,€ 2.572,€ 4.381,€ 1.230.637
139,Cuota nº 140,€ 661.360,€ 597.660,€ 2.563,€ 4.390,€ 1.226.246
140,Cuota nº 141,€ 666.084,€ 601.929,€ 2.554,€ 4.399,€ 1.221.847
141,Cuota nº 142,€ 670.808,€ 606.198,€ 2.545,€ 4.408,€ 1.217.438
142,Cuota nº 143,€ 675.532,€ 610.467,€ 2.536,€ 4.417,€ 1.213.020
143,Cuota nº 144,€ 680.256,€ 614.736,€ 2.527,€ 4.427,€ 1.208.593
144,Cuota nº 145,€ 684.980,€ 619.005,€ 2.517,€ 4.436,€ 1.204.157
145,Cuota nº 146,€ 689.704,€ 623.274,€ 2.508,€ 4.445,€ 1.199.712
146,Cuota nº 147,€ 694.428,€ 627.543,€ 2.499,€ 4.454,€ 1.195.257
147,Cuota nº 148,€ 699.152,€ 631.812,€ 2.490,€ 4.464,€ 1.190.793
148,Cuota nº 149,€ 703.876,€ 636.081,€ 2.480,€ 4.473,€ 1.186.320
149,Cuota nº 150,€ 708.600,€ 640.350,€ 2.471,€ 4.482,€ 1.181.837
150,Cuota nº 151,€ 713.324,€ 644.619,€ 2.462,€ 4.491,€ 1.177.345
151,Cuota nº 152,€ 718.048,€ 648.888,€ 2.452,€ 4.501,€ 1.172.844
152,Cuota nº 153,€ 722.772,€ 653.157,€ 2.443,€ 4.510,€ 1.168.333
153,Cuota nº 154,€ 727.496,€ 657.426,€ 2.434,€ 4.520,€ 1.163.813
154,Cuota nº 155,€ 732.220,€ 661.695,€ 2.424,€ 4.529,€ 1.159.283
155,Cuota nº 156,€ 736.944,€ 665.964,€ 2.415,€ 4.538,€ 1.154.745
156,Cuota nº 157,€ 741.668,€ 670.233,€ 2.405,€ 4.548,€ 1.150.196
157,Cuota nº 158,€ 746.392,€ 674.502,€ 2.396,€ 4.557,€ 1.145.638
158,Cuota nº 159,€ 751.116,€ 678.771,€ 2.386,€ 4.567,€ 1.141.071
159,Cuota nº 160,€ 755.840,€ 683.040,€ 2.377,€ 4.576,€ 1.136.494
160,Cuota nº 161,€ 760.564,€ 687.309,€ 2.367,€ 4.586,€ 1.131.908
161,Cuota nº 162,€ 765.288,€ 691.578,€ 2.358,€ 4.595,€ 1.127.312
162,Cuota nº 163,€ 770.012,€ 695.847,€ 2.348,€ 4.605,€ 1.122.706
163,Cuota nº 164,€ 774.736,€ 700.116,€ 2.338,€ 4.615,€ 1.118.091
164,Cuota nº 165,€ 779.460,€ 704.385,€ 2.329,€ 4.624,€ 1.113.466
165,Cuota nº 166,€ 784.184,€ 708.654,€ 2.319,€ 4.634,€ 1.108.832
166,Cuota nº 167,€ 788.908,€ 712.923,€ 2.310,€ 4.644,€ 1.104.188
167,Cuota nº 168,€ 793.632,€ 717.192,€ 2.300,€ 4.653,€ 1.099.534
168,Cuota nº 169,€ 798.356,€ 721.461,€ 2.290,€ 4.663,€ 1.094.870
169,Cuota nº 170,€ 803.080,€ 725.730,€ 2.280,€ 4.673,€ 1.090.197
170,Cuota nº 171,€ 807.804,€ 729.999,€ 2.271,€ 4.682,€ 1.085.514
171,Cuota nº 172,€ 812.528,€ 734.268,€ 2.261,€ 4.692,€ 1.080.822
172,Cuota nº 173,€ 817.252,€ 738.537,€ 2.251,€ 4.702,€ 1.076.119
173,Cuota nº 174,€ 821.976,€ 742.806,€ 2.241,€ 4.712,€ 1.071.407
174,Cuota nº 175,€ 826.700,€ 747.075,€ 2.232,€ 4.722,€ 1.066.685
175,Cuota nº 176,€ 831.424,€ 751.344,€ 2.222,€ 4.731,€ 1.061.953
176,Cuota nº 177,€ 836.148,€ 755.613,€ 2.212,€ 4.741,€ 1.057.211
177,Cuota nº 178,€ 840.872,€ 759.882,€ 2.202,€ 4.751,€ 1.052.460
178,Cuota nº 179,€ 845.596,€ 764.151,€ 2.192,€ 4.761,€ 1.047.698
179,Cuota nº 180,€ 850.320,€ 768.420,€ 2.182,€ 4.771,€ 1.042.927
180,Cuota nº 181,€ 855.044,€ 772.689,€ 2.172,€ 4.781,€ 1.038.146
181,Cuota nº 182,€ 859.768,€ 776.958,€ 2.162,€ 4.791,€ 1.033.354
182,Cuota nº 183,€ 864.492,€ 781.227,€ 2.152,€ 4.801,€ 1.028.553
183,Cuota nº 184,€ 869.216,€ 785.496,€ 2.142,€ 4.811,€ 1.023.742
184,Cuota nº 185,€ 873.940,€ 789.765,€ 2.132,€ 4.821,€ 1.018.920
185,Cuota nº 186,€ 878.664,€ 794.034,€ 2.122,€ 4.831,€ 1.014.089
186,Cuota nº 187,€ 883.388,€ 798.303,€ 2.112,€ 4.841,€ 1.009.248
187,Cuota nº 188,€ 888.112,€ 802.572,€ 2.102,€ 4.851,€ 1.004.396
188,Cuota nº 189,€ 892.836,€ 806.841,€ 2.092,€ 4.861,€ 999.534
189,Cuota nº 190,€ 897.560,€ 811.110,€ 2.082,€ 4.871,€ 994.663
190,Cuota nº 191,€ 902.284,€ 815.379,€ 2.072,€ 4.881,€ 989.781
191,Cuota nº 192,€ 907.008,€ 819.648,€ 2.062,€ 4.892,€ 984.889
192,Cuota nº 193,€ 911.732,€ 823.917,€ 2.051,€ 4.902,€ 979.986
193,Cuota nº 194,€ 916.456,€ 828.186,€ 2.041,€ 4.912,€ 975.074
194,Cuota nº 195,€ 921.180,€ 832.455,€ 2.031,€ 4.922,€ 970.151
195,Cuota nº 196,€ 925.904,€ 836.724,€ 2.021,€ 4.932,€ 965.218
196,Cuota nº 197,€ 930.628,€ 840.993,€ 2.010,€ 4.943,€ 960.275
197,Cuota nº 198,€ 935.352,€ 845.262,€ 2.000,€ 4.953,€ 955.321
198,Cuota nº 199,€ 940.076,€ 849.531,€ 1.990,€ 4.963,€ 950.357
199,Cuota nº 200,€ 944.800,€ 853.800,€ 1.979,€ 4.974,€ 945.383
200,Cuota nº 201,€ 949.524,€ 858.069,€ 1.969,€ 4.984,€ 940.399
201,Cuota nº 202,€ 954.248,€ 862.338,€ 1.959,€ 4.994,€ 935.404
202,Cuota nº 203,€ 958.972,€ 866.607,€ 1.948,€ 5.005,€ 930.398
203,Cuota nº 204,€ 963.696,€ 870.876,€ 1.938,€ 5.015,€ 925.383
204,Cuota nº 205,€ 968.420,€ 875.145,€ 1.927,€ 5.026,€ 920.356
205,Cuota nº 206,€ 973.144,€ 879.414,€ 1.917,€ 5.036,€ 915.320
206,Cuota nº 207,€ 977.868,€ 883.683,€ 1.906,€ 5.047,€ 910.272
207,Cuota nº 208,€ 982.592,€ 887.952,€ 1.896,€ 5.057,€ 905.215
208,Cuota nº 209,€ 987.316,€ 892.221,€ 1.885,€ 5.068,€ 900.146
209,Cuota nº 210,€ 992.040,€ 896.490,€ 1.875,€ 5.078,€ 895.068
210,Cuota nº 211,€ 996.764,€ 900.759,€ 1.864,€ 5.089,€ 889.978
211,Cuota nº 212,€ 1.001.488,€ 905.028,€ 1.854,€ 5.100,€ 884.878
212,Cuota nº 213,€ 1.006.212,€ 909.297,€ 1.843,€ 5.110,€ 879.767
213,Cuota nº 214,€ 1.010.936,€ 913.566,€ 1.832,€ 5.121,€ 874.646
214,Cuota nº 215,€ 1.015.660,€ 917.835,€ 1.822,€ 5.131,€ 869.514
215,Cuota nº 216,€ 1.020.384,€ 922.104,€ 1.811,€ 5.142,€ 864.372
216,Cuota nº 217,€ 1.025.108,€ 926.373,€ 1.800,€ 5.153,€ 859.218
217,Cuota nº 218,€ 1.029.832,€ 930.642,€ 1.790,€ 5.164,€ 854.054
218,Cuota nº 219,€ 1.034.556,€ 934.911,€ 1.779,€ 5.174,€ 848.879
219,Cuota nº 220,€ 1.039.280,€ 939.180,€ 1.768,€ 5.185,€ 843.694
220,Cuota nº 221,€ 1.044.004,€ 943.449,€ 1.757,€ 5.196,€ 838.497
221,Cuota nº 222,€ 1.048.728,€ 947.718,€ 1.746,€ 5.207,€ 833.290
222,Cuota nº 223,€ 1.053.452,€ 951.987,€ 1.736,€ 5.218,€ 828.072
223,Cuota nº 224,€ 1.058.176,€ 956.256,€ 1.725,€ 5.228,€ 822.843
224,Cuota nº 225,€ 1.062.900,€ 960.525,€ 1.714,€ 5.239,€ 817.603
225,Cuota nº 226,€ 1.067.624,€ 964.794,€ 1.703,€ 5.250,€ 812.352
226,Cuota nº 227,€ 1.072.348,€ 969.063,€ 1.692,€ 5.261,€ 807.091
227,Cuota nº 228,€ 1.077.072,€ 973.332,€ 1.681,€ 5.272,€ 801.818
228,Cuota nº 229,€ 1.081.796,€ 977.601,€ 1.670,€ 5.283,€ 796.534
229,Cuota nº 230,€ 1.086.520,€ 981.870,€ 1.659,€ 5.294,€ 791.240
230,Cuota nº 231,€ 1.091.244,€ 986.139,€ 1.648,€ 5.305,€ 785.934
231,Cuota nº 232,€ 1.095.968,€ 990.408,€ 1.637,€ 5.316,€ 780.617
232,Cuota nº 233,€ 1.100.692,€ 994.677,€ 1.626,€ 5.327,€ 775.289
233,Cuota nº 234,€ 1.105.416,€ 998.946,€ 1.615,€ 5.338,€ 769.950
234,Cuota nº 235,€ 1.110.140,€ 1.003.215,€ 1.604,€ 5.350,€ 764.600
235,Cuota nº 236,€ 1.114.864,€ 1.007.484,€ 1.592,€ 5.361,€ 759.239
236,Cuota nº 237,€ 1.119.588,€ 1.011.753,€ 1.581,€ 5.372,€ 753.867
237,Cuota nº 238,€ 1.124.312,€ 1.016.022,€ 1.570,€ 5.383,€ 748.483
238,Cuota nº 239,€ 1.129.036,€ 1.020.291,€ 1.559,€ 5.394,€ 743.088
239,Cuota nº 240,€ 1.133.760,€ 1.024.560,€ 1.548,€ 5.406,€ 737.682
240,Cuota nº 241,€ 1.138.484,€ 1.028.829,€ 1.536,€ 5.417,€ 732.265
241,Cuota nº 242,€ 1.143.208,€ 1.033.098,€ 1.525,€ 5.428,€ 726.836
242,Cuota nº 243,€ 1.147.932,€ 1.037.367,€ 1.514,€ 5.439,€ 721.396
243,Cuota nº 244,€ 1.152.656,€ 1.041.636,€ 1.502,€ 5.451,€ 715.945
244,Cuota nº 245,€ 1.157.380,€ 1.045.905,€ 1.491,€ 5.462,€ 710.483
245,Cuota nº 246,€ 1.162.104,€ 1.050.174,€ 1.480,€ 5.473,€ 705.009
246,Cuota nº 247,€ 1.166.828,€ 1.054.443,€ 1.468,€ 5.485,€ 699.523
247,Cuota nº 248,€ 1.171.552,€ 1.058.712,€ 1.457,€ 5.496,€ 694.027
248,Cuota nº 249,€ 1.176.276,€ 1.062.981,€ 1.445,€ 5.508,€ 688.518
249,Cuota nº 250,€ 1.181.000,€ 1.067.250,€ 1.434,€ 5.519,€ 682.999
250,Cuota nº 251,€ 1.185.724,€ 1.071.519,€ 1.422,€ 5.531,€ 677.467
251,Cuota nº 252,€ 1.190.448,€ 1.075.788,€ 1.411,€ 5.542,€ 671.925
252,Cuota nº 253,€ 1.195.172,€ 1.080.057,€ 1.399,€ 5.554,€ 666.370
253,Cuota nº 254,€ 1.199.896,€ 1.084.326,€ 1.388,€ 5.565,€ 660.805
254,Cuota nº 255,€ 1.204.620,€ 1.088.595,€ 1.376,€ 5.577,€ 655.227
255,Cuota nº 256,€ 1.209.344,€ 1.092.864,€ 1.365,€ 5.589,€ 649.638
256,Cuota nº 257,€ 1.214.068,€ 1.097.133,€ 1.353,€ 5.600,€ 644.037
257,Cuota nº 258,€ 1.218.792,€ 1.101.402,€ 1.341,€ 5.612,€ 638.425
258,Cuota nº 259,€ 1.223.516,€ 1.105.671,€ 1.330,€ 5.624,€ 632.801
259,Cuota nº 260,€ 1.228.240,€ 1.109.940,€ 1.318,€ 5.635,€ 627.165
260,Cuota nº 261,€ 1.232.964,€ 1.114.209,€ 1.306,€ 5.647,€ 621.518
261,Cuota nº 262,€ 1.237.688,€ 1.118.478,€ 1.294,€ 5.659,€ 615.858
262,Cuota nº 263,€ 1.242.412,€ 1.122.747,€ 1.283,€ 5.671,€ 610.187
263,Cuota nº 264,€ 1.247.136,€ 1.127.016,€ 1.271,€ 5.682,€ 604.504
264,Cuota nº 265,€ 1.251.860,€ 1.131.285,€ 1.259,€ 5.694,€ 598.809
265,Cuota nº 266,€ 1.256.584,€ 1.135.554,€ 1.247,€ 5.706,€ 593.103
266,Cuota nº 267,€ 1.261.308,€ 1.139.823,€ 1.235,€ 5.718,€ 587.384
267,Cuota nº 268,€ 1.266.032,€ 1.144.092,€ 1.223,€ 5.730,€ 581.654
268,Cuota nº 269,€ 1.270.756,€ 1.148.361,€ 1.211,€ 5.742,€ 575.912
269,Cuota nº 270,€ 1.275.480,€ 1.152.630,€ 1.199,€ 5.754,€ 570.157
270,Cuota nº 271,€ 1.280.204,€ 1.156.899,€ 1.187,€ 5.766,€ 564.391
271,Cuota nº 272,€ 1.284.928,€ 1.161.168,€ 1.175,€ 5.778,€ 558.613
272,Cuota nº 273,€ 1.289.652,€ 1.165.437,€ 1.163,€ 5.790,€ 552.822
273,Cuota nº 274,€ 1.294.376,€ 1.169.706,€ 1.151,€ 5.802,€ 547.020
274,Cuota nº 275,€ 1.299.100,€ 1.173.975,€ 1.139,€ 5.814,€ 541.205
275,Cuota nº 276,€ 1.303.824,€ 1.178.244,€ 1.127,€ 5.826,€ 535.379
276,Cuota nº 277,€ 1.308.548,€ 1.182.513,€ 1.115,€ 5.838,€ 529.540
277,Cuota nº 278,€ 1.313.272,€ 1.186.782,€ 1.103,€ 5.850,€ 523.689
278,Cuota nº 279,€ 1.317.996,€ 1.191.051,€ 1.091,€ 5.863,€ 517.826
279,Cuota nº 280,€ 1.322.720,€ 1.195.320,€ 1.078,€ 5.875,€ 511.951
280,Cuota nº 281,€ 1.327.444,€ 1.199.589,€ 1.066,€ 5.887,€ 506.063
281,Cuota nº 282,€ 1.332.168,€ 1.203.858,€ 1.054,€ 5.899,€ 500.163
282,Cuota nº 283,€ 1.336.892,€ 1.208.127,€ 1.042,€ 5.912,€ 494.251
283,Cuota nº 284,€ 1.341.616,€ 1.212.396,€ 1.029,€ 5.924,€ 488.327
284,Cuota nº 285,€ 1.346.340,€ 1.216.665,€ 1.017,€ 5.936,€ 482.390
285,Cuota nº 286,€ 1.351.064,€ 1.220.934,€ 1.004,€ 5.949,€ 476.441
286,Cuota nº 287,€ 1.355.788,€ 1.225.203,€ 992,€ 5.961,€ 470.479
